INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED,Year,Phase,TSEAMCET (BiPC) -2023 LAST RANK STATEMENT FINAL  PHASE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,TSEAMCET(BiPC)-2023 LAST RANK STATEMENT FIRST PHASE,TGEAPCET(Bi.P.C)-2024 LAST RANK STATEMENT FINAL PHASE,Unnamed,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17,Unnamed_18,Unnamed_19,Unnamed_20,Unnamed_21,Unnamed_22,Unnamed_23,Unnamed_24,Unnamed_25,Unnamed_26,Unnamed_27,KUCP,K U COLLEGE OF PHARMACEUTICAL SCIENCES,WARANGAL,HNK,UNIV,1974,PHB,B. PHARMACY,11340,11340_1,14541,19635,17389,17389_1,11340_2,11340_3,14218,14218_1,25480,32025,24433,24433_1,21798,21798_1,27674,27674_1,45000,KU,TRNP,TRINITY COLLEGE OF PHARMACY,PEDDAPALLY,PDL,PVT,2004,50833,50833_1,72360,72360_1,71057,71057_1,50833_2,50833_3,67548,67548_1,56408,56408_1,69400,69400_1,79373,79373_1,59417,59417_1,60000,SVHU,TGEAPCET (Bi.P.C)-2024 LAST RANK STATEMENT FIRST PHASE,20710,20710_1,17442,17442_1,25480_1,17443,17443_1,19479,19479_1,TRPM,TEEGALA RAMI REDDY COLL OF PHARMACY,MIRPET,RR,2006,PDB,PHARM - D (Bi.,15426,15426_1,28657,34237,24541,24541_1,15426_2,15426_3,22370,22370_1,19160,19160_1,22338,22338_1,25546,35913,18014,18898,68000,JNTUH,Inst Code,Institute Name,Place,Dist Code,Co Education,College Type,Year of Estab,Branch Code,Branch Name,Tuition Fee,Affiliated To
BITL,BHARAT INSTITUTE OF TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,1999,PDB,PHARM - D (Bi.P.C. STREAM),11643,11643,18231,18231,15441,15994,11643,11643,12849,12849,11643,11643,17100,17100,11643,11643,16630,16630,90000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITL,BHARAT INSTITUTE OF TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,1999,PHB,B. PHARMACY (Bi.P.C. STREAM),18616,18616,31502,31502,27870,28160,30606,30606,25362,25362,30953,36232,34951,34951,27540,27540,33625,33625,60000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),NA,11844,NA,20229,NA,15687,NA,11844,NA,15625,NA,12963,NA,24706,NA,18644,NA,19063,52000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMP,BOMMA INST OF PHARMACY,KHAMMAM,KHM,COED,PVT,2010,PHB,B. PHARMACY (Bi.P.C. STREAM),35894,35894,56375,58475,53061,53061,35894,35894,46727,46727,39429,50296,52008,52008,40031,40031,46973,61366,50400,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCP,BHASKAR PHARMACY COLLEGE,YENKAPALLY,RR,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),8119,8119,13022,13022,10149,10149,8119,40767,10599,10599,8119,10412,14103,14103,14331,14331,12745,13725,72000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCP,BHASKAR PHARMACY COLLEGE,YENKAPALLY,RR,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),17142,17142,28216,32185,20407,20407,17142,17142,17701,22690,17142,17142,25630,25630,26969,27224,34826,34826,55000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,2009,PHB,B. PHARMACY (Bi.P.C. STREAM),27949,27949,43097,43097,32653,32653,27949,30079,31932,31932,35876,35876,35069,35069,32913,32913,45927,45927,70000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRWN,BROWNS COLL OF PHARMACY,KHAMMAM,KHM,COED,PVT,2004,PDB,PHARM - D (Bi.P.C. STREAM),16591,16591,25693,25693,23675,23675,38304,38304,16591,23582,16591,23883,24682,30764,29215,29215,40172,40172,68000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRWN,BROWNS COLL OF PHARMACY,KHAMMAM,KHM,COED,PVT,2004,PHB,B. PHARMACY (Bi.P.C. STREAM),30516,33328,60194,60194,44246,44246,45191,45191,44670,44670,42914,42914,51624,51624,46715,46715,37203,56753,60000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,PHS,"PHARMACEUTICAL ENGINEERING
(Bi.P.C. STREAM)",7674,7674,19396,24133,12948,12948,7674,7674,13461,13461,7674,8105,20200,20200,10350,18577,16019,16019,120000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
