INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED,Year,Phase,TSEAMCET (BiPC) -2023 LAST RANK STATEMENT FINAL  PHASE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,TSEAMCET(BiPC)-2023 LAST RANK STATEMENT FIRST PHASE,TGEAPCET(Bi.P.C)-2024 LAST RANK STATEMENT FINAL PHASE,Unnamed,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17,Unnamed_18,Unnamed_19,Unnamed_20,Unnamed_21,Unnamed_22,Unnamed_23,Unnamed_24,Unnamed_25,Unnamed_26,Unnamed_27,KUCP,K U COLLEGE OF PHARMACEUTICAL SCIENCES,WARANGAL,HNK,UNIV,1974,PHB,B. PHARMACY,11340,11340_1,14541,19635,17389,17389_1,11340_2,11340_3,14218,14218_1,25480,32025,24433,24433_1,21798,21798_1,27674,27674_1,45000,KU,TRNP,TRINITY COLLEGE OF PHARMACY,PEDDAPALLY,PDL,PVT,2004,50833,50833_1,72360,72360_1,71057,71057_1,50833_2,50833_3,67548,67548_1,56408,56408_1,69400,69400_1,79373,79373_1,59417,59417_1,60000,SVHU,TGEAPCET (Bi.P.C)-2024 LAST RANK STATEMENT FIRST PHASE,20710,20710_1,17442,17442_1,25480_1,17443,17443_1,19479,19479_1,TRPM,TEEGALA RAMI REDDY COLL OF PHARMACY,MIRPET,RR,2006,PDB,PHARM - D (Bi.,15426,15426_1,28657,34237,24541,24541_1,15426_2,15426_3,22370,22370_1,19160,19160_1,22338,22338_1,25546,35913,18014,18898,68000,JNTUH,Inst Code,Institute Name,Place,Dist Code,Co Education,College Type,Year of Estab,Branch Code,Branch Name,Tuition Fee,Affiliated To
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,DIPS,DHANVANTHARI INST OF PHARM SCI,KOTHAGUDEM,KGM,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),42357,42357,77783,77783,75040,75692,60000,60000,59135,59135,51140,51140,73837,73945,75743,78718,57505,66316,52000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,DNVP,DHANVANTHARI COLLEGE OF PHARM SCI,MAHABUBNAGAR,MBN,COED,PVT,2008,PHB,B. PHARMACY (Bi.P.C. STREAM),28507,37459,44367,48962,45175,45175,28507,37459,40154,40154,32557,37459,51707,51707,58437,58437,60823,60823,60000,PLMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,2008,BTB,BIO-TECHNOLOGY (Bi.P.C. STREAM),14048,14048,20286,20868,20988,20988,14993,14993,15345,16403,22795,22795,19212,19212,22373,25094,19866,19866,100000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GATE,GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,KODAD,SRP,COED,PVT,2008,PHS,PHARMACEUTICAL ENGINEERING (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,100000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GATP,GATE INSTITUTE OF PHARAMACEUTICAL SCIENCES,KODAD,SRP,COED,PVT,2008,PDB,PHARM - D (Bi.P.C. STREAM),16926,16926,51163,51163,33382,33382,16926,16926,28989,28989,25785,25785,45112,45112,16926,43541,50914,50914,68000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GATP,GATE INSTITUTE OF PHARAMACEUTICAL SCIENCES,KODAD,SRP,COED,PVT,2008,PHB,B. PHARMACY (Bi.P.C. STREAM),48970,48970,75015,75015,66638,72734,58353,58353,57923,59461,53476,53476,69830,69830,68936,68936,48970,48970,90000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GBCP,GLOBAL COLLEGE OF PHARMACY,CHILKUR,RR,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),38001,38001,57050,57050,49467,49637,38001,38001,43992,45021,39073,39073,57139,57952,61167,61167,44732,46358,75000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GBNP,GURRAM BALANARSAIAH INST OF PHARMACY,GHATKESAR,MDL,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),14552,14552,35524,35524,22267,22267,14552,14552,20334,22220,20886,20886,25202,25202,28315,29791,25633,25633,68000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GBNP,GURRAM BALANARSAIAH INST OF PHARMACY,GHATKESAR,MDL,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),23524,23524,51417,51417,49183,49183,23524,23524,39798,39798,23524,34445,48960,48960,52566,52566,48720,50582,65000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GCPK,GEETHANJALI COLL OF PHARM,KEESARA,MDL,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,125000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GCPK,GEETHANJALI COLL OF PHARM,KEESARA,MDL,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),25140,25140,48334,48334,31488,32568,25140,25140,30489,32905,30067,36576,42123,42123,40123,40123,40712,40712,90000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GJCP,GYANA JYOTHI COLLEGE OF PHARMACY,UPPAL,MDL,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,78183,78183,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,55000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GLND,GLAND INST OF PHARACEUTICAL SCIENCES,KOTHAPET,MED,COED,PVT,2009,PHB,B. PHARMACY (Bi.P.C. STREAM),34685,34685,68412,68680,52070,52070,74946,74946,46593,46593,47661,52188,59262,60616,56446,56446,66365,78058,50000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GPRP,G P R COLLEGE OF PHARMACY,MEHDIPATNAM,HYD,COED,PVT,1995,PDB,PHARM - D (Bi.P.C. STREAM),7163,7163,16384,16384,7502,7502,7163,7163,8444,8444,9276,9276,7462,11294,17261,17261,8221,8221,78000,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GPRP,G P R COLLEGE OF PHARMACY,MEHDIPATNAM,HYD,COED,PVT,1995,PHB,B. PHARMACY (Bi.P.C. STREAM),14128,19451,29799,29799,21284,21284,14128,19451,20249,20249,16868,20458,31188,31188,31819,39037,22602,22602,95000,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GRCP,GOKARAJU RANGARAJU COLLEGE OF PHARMACY,BACHUPALLI,MDL,COED,PVT,2003,PHB,B. PHARMACY (Bi.P.C. STREAM),13105,13105,16895,16895,19559,20560,13105,13105,13739,14256,16085,16085,25434,25434,26098,28416,14582,14582,75000,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2001,PDB,PHARM - D (Bi.P.C. STREAM),9540,9540,13387,13387,15353,15353,9540,9540,9540,11296,18365,18365,17419,17419,14793,14793,11235,13503,125000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,GURU,GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2001,PHB,B. PHARMACY (Bi.P.C. STREAM),20709,20709,40943,40943,34914,34914,29509,29509,28530,28530,33890,33890,36676,38682,33783,33783,32980,32980,110000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,HMIP,HOLY MARY INST OF TECH AND SCI - BPHARM,KEESARA,MDL,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),18777,18777,34658,36864,23794,26490,18777,18777,21118,23264,23969,23969,27447,27447,36481,36481,28457,28457,68000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,HMIP,HOLY MARY INST OF TECH AND SCI - BPHARM,KEESARA,MDL,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,60000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,INDP,SRI INDU INST OF PHARMACY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2001,PDB,PHARM - D (Bi.P.C. STREAM),11806,11806,23664,23664,17400,17400,11806,11806,15254,19802,23268,23268,21939,24439,31961,31961,20568,22629,100000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,INDP,SRI INDU INST OF PHARMACY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,2001,PHB,B. PHARMACY (Bi.P.C. STREAM),30251,30251,30585,41840,39597,39788,30251,65732,33417,33417,30251,37016,40863,40863,42338,48180,37277,37277,87000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JANG,JANGOAN INSTITUTE OF PHARMACEUTICAL SCIS,JANGAON,JGN,COED,PVT,2003,PHB,B. PHARMACY (Bi.P.C. STREAM),42445,42445,73532,73532,65001,65001,42445,60120,60002,60002,64420,64420,72574,72574,73316,73316,55899,55899,55000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JBCP,JOGINPALLY B R PHARMACY COLLEGE,YENKAPALLY,RR,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,85000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JBCP,JOGINPALLY B R PHARMACY COLLEGE,YENKAPALLY,RR,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),36373,36373,59199,60036,40431,40431,36373,65243,36373,36373,38877,38877,48460,48460,62094,62094,49668,49668,66000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JCPN,JAYAMUKHI COLLEGE OF PHARMACY,NARSAMPET,WGL,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),17278,17278,43083,43083,32027,32027,17278,17278,28698,29246,31810,31810,28926,37099,50904,57880,29774,29774,68000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JCPN,JAYAMUKHI COLLEGE OF PHARMACY,NARSAMPET,WGL,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),62496,62496,71264,71264,62496,62496,62496,62496,62496,62496,62496,62496,68977,70539,74628,75711,79011,79011,45000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JIPS,JAYAMUKHI INST OF PHARM SCI,NARSAMPET,WGL,COED,PVT,2006,PHB,B. PHARMACY (Bi.P.C. STREAM),26603,26603,71397,78619,60793,61066,55623,55623,55579,55790,67605,67605,68019,68227,76803,76803,26603,26603,45000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JJPM,J J COLLEGE OF PHARMACY,MAHESWARAM,RR,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),62496,62496,63715,63715,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62648,62648,62496,62838,50000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JMIP,JYOTHISHMATHI INST OF PHARM SCI,KARIMNAGAR,KRM,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),19562,19562,19562,19562,26772,26772,19562,26775,19562,30816,22868,22868,29073,29073,54018,54018,64964,64964,75000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JMIP,JYOTHISHMATHI INST OF PHARM SCI,KARIMNAGAR,KRM,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),35532,35770,50574,50574,52501,52628,35532,35770,42956,42956,41860,41860,67602,67602,78204,78204,66577,66577,54000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JNTH,JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,HYDERABAD,MDL,COED,UNIV,1965,BTB,BIO-TECHNOLOGY (Bi.P.C. STREAM),5881,5881,5991,6984,6688,6688,10230,10230,6291,6291,7041,7041,10614,10614,16040,16040,8107,8107,100000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JNTP,JNTUH COLLEGE OF PHAMACY SULTANPUR,SULTANPUR,SRD,COED,UNIV,2012,PHB,B. PHARMACY (Bi.P.C. STREAM),12453,12453,26062,26062,12453,15978,12453,12453,12453,13226,12453,12453,19051,19051,23966,28010,12453,12453,35000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,JNTPSF,JNTUH COLLEGE OF PHAMACY SULTANPUR  SELF FINANCE,SULTANPUR,SRD,COED,UNIV,2012,PHB,B. PHARMACY (Bi.P.C. STREAM),62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,62496,65000,JNTUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KGRM,KGR INST OF TECH AND MANAGEMENT,KEESARA,MDL,COED,PVT,2021,PHB,B. PHARMACY (Bi.P.C. STREAM),31019,31019,60434,61109,49452,49452,31019,31019,40306,43058,40802,40802,54281,54281,60947,60947,60466,65359,45000,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KHMP,KHAMMAM COLLEGE OF PHARMACY,KHAMMAM,KHM,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),26700,26700,26700,45545,30672,30672,26700,26700,42998,42998,29109,29109,40208,43153,26700,38013,26700,26700,68000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KHMP,KHAMMAM COLLEGE OF PHARMACY,KHAMMAM,KHM,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),43050,43050,80110,80110,73000,76207,61912,61912,57136,60403,65418,65418,63846,63846,77025,77025,74904,74904,70000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KRCP,KL  R PHARMACY COLLEGE,PALVONCHA,KGM,COED,PVT,2004,PDB,PHARM - D (Bi.P.C. STREAM),20728,20728,38258,38258,36544,36544,36848,36848,24217,33321,20728,25836,45979,45979,39212,42759,20728,20728,68000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KRCP,KL  R PHARMACY COLLEGE,PALVONCHA,KGM,COED,PVT,2004,PHB,B. PHARMACY (Bi.P.C. STREAM),34953,48483,80001,80001,79742,79742,34953,48483,63879,66684,64667,64667,74897,74897,81535,81535,34953,48483,65000,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,FINALPHASE,KRUP,SRI KRUPA INSTITUTE OF PHARMACEUTICAL SCIS,KONDAPAK,SDP,COED,PVT,2004,PHB,B. PHARMACY (Bi.P.C. STREAM),39499,39499,66125,66125,56960,56960,39499,52240,53331,53331,49173,49173,64981,65621,69953,73554,72483,72483,50000,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
